Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
I,0,0,0,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7,8.0358529139,-1.035852914,-0.500345421
I,0,0,0,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7,7.8602250706,-0.860225071,-0.415168787
I,0,0,0,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7,7.3819862243,-0.381986224,-0.184464214
I,0,0,0,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6,6.9732360096,-0.97323601,-0.471194794
M,1,1,0,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10,6.4964754291,3.5035245709,1.7157626318
F,1,0,1,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8,10.759602307,-2.759602307,-1.336811115
M,1,1,0,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8,9.78513847,-1.78513847,-0.862578816
F,1,0,1,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10,10.105807482,-0.105807482,-0.051102859
F,1,0,1,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9,10.29592725,-1.29592725,-0.626199358
F,1,0,1,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7,8.5003897914,-1.500389791,-0.725561634
M,1,1,0,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8,8.8692572373,-0.869257237,-0.420062361
M,1,1,0,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9,11.274139525,-2.274139525,-1.100226958
F,1,0,1,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10,10.339873416,-0.339873416,-0.16425436
M,1,1,0,0.585,0.46,0.15,1.206,0.581,0.216,0.323,10,10.314277737,-0.314277737,-0.151970421
M,1,1,0,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11,14.231563245,-3.231563245,-1.574823924
F,1,0,1,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9,11.233281678,-2.233281678,-1.07836911
F,1,0,1,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10,9.5714332262,0.4285667738,0.2166398962
F,1,0,1,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10,13.202192388,-3.202192388,-1.560027818
M,1,1,0,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11,9.8189082849,1.1810917151,0.5717471463
M,1,1,0,0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11,9.9616274424,1.0383725576,0.5033417126
F,1,0,1,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10,9.8670429664,0.1329570336,0.0643456417
F,1,0,1,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9,10.457801711,-1.457801711,-0.706112547
M,1,1,0,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8,10.825069206,-2.825069206,-1.364373604
M,1,1,0,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9,11.186936644,-2.186936644,-1.056495802
M,1,1,0,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11,11.349578311,-0.349578311,-0.168955924
M,1,1,0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10,10.925579663,-0.925579663,-0.447927859
M,1,1,0,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10,11.77209654,-1.77209654,-0.855548154
I,0,0,0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11,7.0435387198,3.9564612802,1.9125731173
M,1,1,0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20,18.737022423,1.2629775767,0.6232424366
I,0,0,0,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5,4.534425686,0.465574314,0.2290553776
I,0,0,0,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5,4.7459510968,0.2540489032,0.1229297283
I,0,0,0,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4,4.016043418,-0.016043418,-0.007777824
F,1,0,1,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9,10.415277494,-1.415277494,-0.685013355
M,1,1,0,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13,10.821250732,2.1787492675,1.0557264071
M,1,1,0,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14,11.046064999,2.9539350007,1.4282814335
F,1,0,1,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13,11.31750708,1.68249292,0.8127310738
F,1,0,1,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12,14.751183765,-2.751183765,-1.363738591
F,1,0,1,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24,17.953955028,6.0460449715,3.041943006
F,1,0,1,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10,11.123387081,-1.123387081,-0.543507058
F,1,0,1,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21,17.040139133,3.9598608673,2.0083637129
F,1,0,1,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11,8.8084378836,2.1915621164,1.0614488214
M,1,1,0,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,9.0878245707,-0.087824571,-0.042448013
M,1,1,0,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7,10.166135908,-3.166135908,-1.532990022
M,1,1,0,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9,9.0387686622,-0.038768662,-0.018721429
M,1,1,0,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10,14.874646193,-4.874646193,-2.360690207
F,1,0,1,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9,9.556248535,-0.556248535,-0.269812234
M,1,1,0,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,9.6115280215,-0.611528022,-0.296132779
F,1,0,1,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6,7.499207425,-1.499207425,-0.730779342
I,0,0,0,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7,5.4162247558,1.5837752442,0.7658127672
F,1,0,1,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6,7.2873548625,-1.287354862,-0.633948712
M,1,1,0,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15,13.152973106,1.8470268936,0.8964011066
F,1,0,1,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9,10.021570626,-1.021570626,-0.495230479
F,1,0,1,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13,12.343847675,0.6561523248,0.3187110034
F,1,0,1,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9,10.001515029,-1.001515029,-0.484805074
F,1,0,1,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18,13.785731722,4.2142682781,2.0552323982
M,1,1,0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15,10.725109196,4.2748908043,2.0655670602
M,1,1,0,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15,12.284376173,2.7156238275,1.3276682958
M,1,1,0,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10,11.542247886,-1.542247886,-0.754123842
F,1,0,1,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14,11.924543212,2.0754567878,1.0048721394
M,1,1,0,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13,12.527058589,0.4729414109,0.2286941017
F,1,0,1,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11,11.504581113,-0.504581113,-0.245121228
M,1,1,0,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6,7.6658434763,-1.665843476,-0.805500102
M,1,1,0,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9,10.525177016,-1.525177016,-0.737074233
I,0,0,0,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11,10.235244778,0.7647552216,0.3706190512
F,1,0,1,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12,9.8401542826,2.1598457174,1.0432406172
F,1,0,1,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15,10.124878256,4.875121744,2.3553592456
M,1,1,0,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8,8.3792092211,-0.379209221,-0.183326314
I,0,0,0,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8,5.612386236,2.387613764,1.1541634421
F,1,0,1,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7,8.6483079208,-1.648307921,-0.79866303
M,1,1,0,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11,11.703373419,-0.703373419,-0.340776793
M,1,1,0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,16.216013299,-6.216013299,-3.036518041
M,1,1,0,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11,10.663595033,0.3364049674,0.1628417198
F,1,0,1,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13,13.121531025,-0.121531025,-0.059319623
F,1,0,1,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11,9.7981153143,1.2018846857,0.5839728092
F,1,0,1,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6,8.504062613,-2.504062613,-1.210711217
F,1,0,1,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8,9.4957618828,-1.495761883,-0.722474874
M,1,1,0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,15.073664775,0.9263352254,0.4585233203
M,1,1,0,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7,9.8603267229,-2.860326723,-1.382288605
I,0,0,0,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5,4.0057341228,0.9942658772,0.4842936473
M,1,1,0,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13,11.220653217,1.7793467831,0.8613504858
F,1,0,1,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14,9.7512061714,4.2487938286,2.0553793538
M,1,1,0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20,14.668481816,5.3315181836,2.5882781251
F,1,0,1,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12,11.249633696,0.7503663036,0.3623948496
F,1,0,1,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18,17.53085497,0.4691450304,0.2295008922
I,0,0,0,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5,6.3118701601,-1.31187016,-0.633475523
I,0,0,0,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,6.5620199046,0.4379800954,0.2115036186
M,1,1,0,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11,10.428465781,0.5715342189,0.2765462646
F,1,0,1,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9,10.6193836,-1.6193836,-0.782855473
F,1,0,1,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10,11.505477577,-1.505477577,-0.727650943
F,1,0,1,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6,8.8752472932,-2.875247293,-1.391743656
F,1,0,1,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17,16.976717146,0.0232828535,0.0114070964
F,1,0,1,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17,13.153667512,3.8463324881,1.8578653037
F,1,0,1,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15,15.59248781,-0.59248781,-0.287426889
M,1,1,0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9,8.1842058408,0.8157941592,0.3948637113
I,0,0,0,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8,6.3654488681,1.6345511319,0.7895825044
I,0,0,0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15,9.5689470902,5.4310529098,2.6232088696
I,0,0,0,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9,6.9289684673,2.0710315327,1.000493804
I,0,0,0,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14,9.9027204418,4.0972795582,1.9830812699
M,1,1,0,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12,11.813531202,0.1864687984,0.0902059798
F,1,0,1,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10,12.045449124,-2.045449124,-0.987574723
F,1,0,1,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14,13.229015543,0.7709844568,0.3746783642
F,1,0,1,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13,10.883923419,2.1160765805,1.0252705759
F,1,0,1,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14,11.677657306,2.3223426944,1.1280515689
F,1,0,1,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,11.631218205,-0.631218205,-0.30482213
M,1,1,0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16,20.652625301,-4.652625301,-2.292252471
M,1,1,0,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10,9.841025797,0.158974203,0.0768250018
F,1,0,1,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14,13.355850342,0.6441496577,0.3118926472
M,1,1,0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16,14.652850563,1.3471494371,0.6540476813
M,1,1,0,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11,11.800798303,-0.800798303,-0.386947335
M,1,1,0,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9,8.9835268304,0.0164731696,0.0079698038
M,1,1,0,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18,16.543078418,1.4569215819,0.7121936903
M,1,1,0,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8,13.352461562,-5.352461562,-2.591299784
M,1,1,0,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16,16.880521266,-0.880521266,-0.428466221
I,0,0,0,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,8.6017408564,0.3982591436,0.1925228138
F,1,0,1,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10,9.6723009517,0.3276990483,0.1586071579
F,1,0,1,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13,9.8517284849,3.1482715151,1.5225060381
I,0,0,0,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9,8.646141672,0.353858328,0.1710678338
F,1,0,1,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12,12.798347619,-0.798347619,-0.386316276
M,1,1,0,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11,11.140794154,-0.140794154,-0.067995108
M,1,1,0,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12,9.3512335276,2.6487664724,1.2802121286
M,1,1,0,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13,12.878641401,0.1213585992,0.0588611142
F,1,0,1,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12,12.167919752,-0.167919752,-0.081194131
F,1,0,1,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13,14.97293996,-1.97293996,-0.957361556
M,1,1,0,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14,12.465659643,1.5343403569,0.7487091026
I,0,0,0,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,7.6310074548,0.3689925452,0.1785211904
M,1,1,0,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18,12.115019508,5.8849804919,2.8549410714
M,1,1,0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14,11.520319987,2.4796800128,1.2035230153
F,1,0,1,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15,11.635035566,3.3649644343,1.6270730239
M,1,1,0,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15,11.142023586,3.8579764141,1.864700172
M,1,1,0,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14,11.599002529,2.4009974708,1.1644412105
M,1,1,0,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15,13.138656274,1.8613437262,0.9014592392
F,1,0,1,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14,12.135481059,1.8645189413,0.9059309826
F,1,0,1,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,12.211631411,6.7883685888,3.2920079448
F,1,0,1,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13,11.94271915,1.0572808504,0.5144956292
M,1,1,0,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13,12.362387986,0.6376120139,0.3079622693
F,1,0,1,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15,12.898934926,2.1010650745,1.0167134706
M,1,1,0,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11,11.709549132,-0.709549132,-0.345691524
M,1,1,0,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6,7.0778805058,-1.077880506,-0.522912644
F,1,0,1,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9,9.66628395,-0.66628395,-0.322249441
I,0,0,0,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8,9.4936432792,-1.493643279,-0.722632589
M,1,1,0,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12,8.7530003942,3.2469996058,1.5684439798
I,0,0,0,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6,7.4984216392,-1.498421639,-0.724334918
F,1,0,1,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7,8.9122553156,-1.912255316,-0.925405172
I,0,0,0,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5,6.2985594257,-1.298559426,-0.62742987
F,1,0,1,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12,10.882150599,1.1178494008,0.5414675936
M,1,1,0,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9,8.6414285327,0.3585714673,0.173352446
M,1,1,0,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,9.5310343632,-2.531034363,-1.224216963
M,1,1,0,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18,11.811012046,6.1889879538,2.9899698913
F,1,0,1,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13,11.772310565,1.227689435,0.5939312729
F,1,0,1,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12,11.214633581,0.7853664193,0.379480834
F,1,0,1,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14,12.049443377,1.9505566226,0.9446378813
M,1,1,0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17,10.390322904,6.6096770963,3.2008664599
F,1,0,1,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12,9.2378290092,2.7621709908,1.3425825319
M,1,1,0,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14,10.345874653,3.654125347,1.7660388116
F,1,0,1,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11,9.5075933602,1.4924066398,0.7208156547
F,1,0,1,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10,8.3969058065,1.6030941935,0.7795837307
M,1,1,0,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11,9.4984228024,1.5015771976,0.7261624717
F,1,0,1,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12,12.945129734,-0.945129734,-0.457220531
F,1,0,1,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13,11.325969481,1.6740305192,0.8163544067
M,1,1,0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,17,12.824258621,4.1757413794,2.0226016627
M,1,1,0,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11,10.047593167,0.9524068333,0.4600999449
F,1,0,1,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13,10.925792712,2.0742072884,1.0023847159
F,1,0,1,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18,11.923034164,6.0769658356,2.9388235829
M,1,1,0,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,8.2197235811,3.7802764189,1.8275873792
M,1,1,0,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12,10.431490793,1.5685092074,0.7585772606
F,1,0,1,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15,11.69543094,3.3045690598,1.6013864835
M,1,1,0,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12,10.936800031,1.0631999686,0.5143228808
F,1,0,1,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18,15.375749847,2.6242501527,1.2788258462
M,1,1,0,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24,16.511717337,7.4882826629,3.6534597829
M,1,1,0,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11,11.990016757,-0.990016757,-0.480792254
F,1,0,1,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13,11.874339674,1.125660326,0.5439788668
F,1,0,1,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11,11.944097671,-0.944097671,-0.456241233
M,1,1,0,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11,11.083683278,-0.083683278,-0.040409427
F,1,0,1,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13,11.327701363,1.672298637,0.8137611229
F,1,0,1,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,11.099666855,2.9003331452,1.4032112292
M,1,1,0,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12,9.8561413069,2.1438586931,1.0402064104
F,1,0,1,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,9.8667708531,5.1332291469,2.4792838038
M,1,1,0,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15,11.657304542,3.3426954584,1.6152870077
F,1,0,1,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12,10.288156251,1.7118437485,0.8269794342
M,1,1,0,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9,10.742694061,-1.742694061,-0.842293838
F,1,0,1,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11,9.9521507332,1.0478492668,0.5065182056
M,1,1,0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13,10.062717497,2.9372825026,1.420294323
F,1,0,1,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14,11.745921348,2.2540786516,1.0889375614
M,1,1,0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14,9.9927942238,4.0072057762,1.9462218713
F,1,0,1,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14,12.249542632,1.7504573685,0.8456051761
M,1,1,0,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17,11.804650205,5.1953497946,2.5123756252
F,1,0,1,0.62,0.5,0.175,1.146,0.477,0.23,0.39,13,12.272880959,0.727119041,0.3515175149
M,1,1,0,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16,13.329147319,2.6708526806,1.2923059508
F,1,0,1,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16,12.999747872,3.0002521284,1.4560754715
F,1,0,1,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11,13.373282448,-2.373282448,-1.175082068
F,1,0,1,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15,11.717090044,3.2829099562,1.6020275927
F,1,0,1,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12,14.723680856,-2.723680856,-1.325056744
F,1,0,1,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16,10.794325463,5.2056745366,2.5161433361
I,0,0,0,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,13.513989059,2.4860109412,1.2136108971
I,0,0,0,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10,7.9786350328,2.0213649672,0.9774698632
F,1,0,1,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9,9.1704274822,-0.170427482,-0.082674042
M,1,1,0,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,6.7268781959,-1.726878196,-0.837954544
I,0,0,0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9,8.4246837071,0.5753162929,0.2781242757
F,1,0,1,0.62,0.485,0.165,1.166,0.483,0.238,0.355,13,11.921724771,1.0782752292,0.5206069446
F,1,0,1,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12,10.546130006,1.4538699935,0.7027241553
F,1,0,1,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17,11.686572745,5.313427255,2.568159843
M,1,1,0,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,8.8257947471,2.1742052529,1.0508217465
I,0,0,0,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,8.2048249462,2.7951750538,1.3507756937
M,1,1,0,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9,8.270973922,0.729026078,0.3525267938
M,1,1,0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16,11.607834042,4.3921659579,2.1282136294
M,1,1,0,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7,6.4484685043,0.5515314957,0.2677478933
M,1,1,0,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4,4.036719982,-0.036719982,-0.018135375
F,1,0,1,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,15.851586173,3.1484138267,1.535965436
F,1,0,1,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16,12.004488672,3.9955113281,1.9295033113
I,0,0,0,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11,10.203388901,0.7966110991,0.3851551031
F,1,0,1,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15,9.7969959033,5.2030040967,2.5134487306
F,1,0,1,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12,8.8895153174,3.1104846826,1.5050665381
I,0,0,0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,7.0448156758,4.9551843242,2.3923150532
M,1,1,0,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10,7.9506708997,2.0493291003,0.9912708809
I,0,0,0,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12,11.11291455,0.8870854499,0.4307429926
I,0,0,0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16,13.396080023,2.6039199767,1.2867845123
I,0,0,0,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13,11.495050181,1.5049498187,0.7435633147
F,1,0,1,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10,10.725274969,-0.725274969,-0.350605863
F,1,0,1,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10,8.5107443913,1.4892556087,0.7235979601
F,1,0,1,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11,9.1917582622,1.8082417378,0.9037009501
I,0,0,0,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13,10.867072165,2.132927835,1.03373686
I,0,0,0,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12,9.0496263358,2.9503736642,1.4253925409
I,0,0,0,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8,8.1651056126,-0.165105613,-0.079813328
F,1,0,1,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12,10.476572605,1.5234273953,0.7375731967
F,1,0,1,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11,10.01135925,0.9886407503,0.4776612497
I,0,0,0,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15,16.016936844,-1.016936844,-0.523215262
F,1,0,1,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16,17.494303278,-1.494303278,-0.738640139
F,1,0,1,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12,11.944384675,0.055615325,0.0269703057
I,0,0,0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17,11.025914535,5.9740854649,2.8958039726
F,1,0,1,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12,11.534810191,0.4651898088,0.224715367
M,1,1,0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14,9.1898922978,4.8101077022,2.3259003751
F,1,0,1,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13,9.9216721614,3.0783278386,1.4928677898
