Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Square Root[Rings],Predicted Square Root[Rings],Residual Square Root[Rings],Studentized Resid Square Root[Rings]
F,1,0,1,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16,4,3.5797200212,0.4202799788,1.3984797551
F,1,0,1,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11,3.3166247904,3.6484801787,-0.331855388,-1.126572106
F,1,0,1,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15,3.8729833462,3.4061619408,0.4668214054,1.5618996632
F,1,0,1,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12,3.4641016151,3.8068100558,-0.342708441,-1.143126804
F,1,0,1,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16,4,3.259621216,0.740378784,2.4535995285
I,0,0,0,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,4,3.6656926462,0.3343073538,1.1189578056
I,0,0,0,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10,3.1622776602,2.8001704531,0.3621072071,1.2005690939
F,1,0,1,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9,3,3.0138876105,-0.013887611,-0.046190048
M,1,1,0,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,2.2360679775,2.5700855087,-0.334017531,-1.111269423
I,0,0,0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9,3,2.8849383279,0.1150616721,0.3813767854
F,1,0,1,0.62,0.485,0.165,1.166,0.483,0.238,0.355,13,3.6055512755,3.4277372352,0.1778140402,0.5886236767
F,1,0,1,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12,3.4641016151,3.2327394876,0.2313621276,0.7667308309
F,1,0,1,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17,4.1231056256,3.3957234481,0.7273821775,2.4104676981
M,1,1,0,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,3.3166247904,2.9520307816,0.3645940087,1.2081737277
I,0,0,0,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,3.3166247904,2.8468683558,0.4697564345,1.556461246
M,1,1,0,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9,3,2.8459958134,0.1540041866,0.5105907509
M,1,1,0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16,4,3.3715610717,0.6284389283,2.0878096786
M,1,1,0,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7,2.6457513111,2.5138907661,0.1318605449,0.4388963397
M,1,1,0,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4,2,2.0288924286,-0.028892429,-0.097836175
F,1,0,1,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,4.3588989435,3.9486107688,0.4102881748,1.3723660964
F,1,0,1,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16,4,3.4362668451,0.5637331549,1.8665433826
I,0,0,0,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11,3.3166247904,3.1600909762,0.1565338142,0.5189061519
F,1,0,1,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15,3.8729833462,3.1131316319,0.7598517143,2.5167267159
F,1,0,1,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12,3.4641016151,2.9520953098,0.5120063053,1.698612404
I,0,0,0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,3.4641016151,2.6459353724,0.8181662427,2.7082669144
M,1,1,0,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10,3.1622776602,2.806541411,0.3557362492,1.1797775072
I,0,0,0,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12,3.4641016151,3.3158012646,0.1483003505,0.4937263334
I,0,0,0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16,4,3.6853174788,0.3146825212,1.0662085512
I,0,0,0,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13,3.6055512755,3.3684461937,0.2371050818,0.8032082241
F,1,0,1,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10,3.1622776602,3.2550417222,-0.092764062,-0.30745927
F,1,0,1,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10,3.1622776602,2.9031210329,0.2591566273,0.8633397903
F,1,0,1,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11,3.3166247904,3.0174474105,0.2991773799,1.0251522106
I,0,0,0,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13,3.6055512755,3.2504212295,0.355130046,1.1800831427
I,0,0,0,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12,3.4641016151,2.9807241885,0.4833774266,1.6011616255
I,0,0,0,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8,2.8284271247,2.8199039371,0.0085231876,0.0282492538
F,1,0,1,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12,3.4641016151,3.2064699492,0.2576316659,0.8552123335
F,1,0,1,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11,3.3166247904,3.1391642922,0.1774604981,0.587860863
I,0,0,0,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15,3.8729833462,4.0204824084,-0.147499062,-0.520315819
F,1,0,1,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16,4,4.1806339254,-0.180633925,-0.612188016
F,1,0,1,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12,3.4641016151,3.42217841,0.0419232051,0.1393917968
I,0,0,0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17,4.1231056256,3.2913845486,0.831721077,2.7641829521
F,1,0,1,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12,3.4641016151,3.3669724749,0.0971291403,0.32169438
M,1,1,0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14,3.7416573868,3.0159364361,0.7257209507,2.4060093876
F,1,0,1,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13,3.6055512755,3.1242525638,0.4812987117,1.6003409776
I,0,0,0,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13,3.6055512755,3.3090968306,0.2964544449,0.9857896276
F,1,0,1,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12,3.4641016151,3.3626292154,0.1014723998,0.3368885333
I,0,0,0,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14,3.7416573868,3.4951885316,0.2464688551,0.8324076318
M,1,1,0,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104,11,3.3166247904,3.0082903242,0.3083344662,1.0217327598
I,0,0,0,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13,3.6055512755,2.8905268633,0.7150244122,2.3724578955
I,0,0,0,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10,3.1622776602,3.0230615846,0.1392160755,0.4619824242
I,0,0,0,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11,3.3166247904,3.228518081,0.0881067093,0.2929377922
F,1,0,1,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13,3.6055512755,3.2524928775,0.3530583979,1.1698643125
F,1,0,1,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15,3.8729833462,3.1930934287,0.6798899176,2.2532873474
I,0,0,0,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8,2.8284271247,3.0571117655,-0.228684641,-0.758831815
F,1,0,1,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10,3.1622776602,2.9618546122,0.2004230479,0.664247373
I,0,0,0,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10,3.1622776602,2.909456956,0.2528207042,0.8371472503
I,0,0,0,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,6,2.4494897428,2.6936227436,-0.244133001,-0.80809413
I,0,0,0,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8,2.8284271247,2.6605166339,0.1679104909,0.5558320763
M,1,1,0,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5,2.2360679775,2.6046899159,-0.368621938,-1.22453879
I,0,0,0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20,4.472135955,3.8733603141,0.5987756409,2.0488193925
F,1,0,1,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19,4.3588989435,3.579866181,0.7790327626,2.5821510677
M,1,1,0,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9,3,2.9468446547,0.0531553453,0.176168503
M,1,1,0,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9,3,2.9303460638,0.0696539362,0.2308940369
I,0,0,0,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10,3.1622776602,3.0996756746,0.0626019856,0.208610479
M,1,1,0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11,3.3166247904,2.7710212119,0.5456035784,1.8096351456
I,0,0,0,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11,3.3166247904,2.8902077145,0.4264170758,1.4144435717
M,1,1,0,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5,2.2360679775,2.5612896542,-0.325221677,-1.081320017
I,0,0,0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17,4.1231056256,4.0050047205,0.1181009051,0.4007757252
I,0,0,0,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13,3.6055512755,3.4945072491,0.1110440263,0.3697511046
I,0,0,0,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17,4.1231056256,3.9643122955,0.1587933301,0.5437659659
M,1,1,0,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12,3.4641016151,3.1388601585,0.3252414567,1.0772717368
M,1,1,0,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10,3.1622776602,2.7778778939,0.3843997663,1.2767830374
I,0,0,0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16,4,3.3479407507,0.6520592493,2.1697001117
M,1,1,0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19,4.3588989435,3.7421892625,0.6167096811,2.050423377
F,1,0,1,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10,3.1622776602,3.1443016209,0.0179760393,0.0596475292
F,1,0,1,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10,3.1622776602,3.0559744173,0.1063032429,0.3570311371
I,0,0,0,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6,2.4494897428,2.5476652603,-0.098175518,-0.325301856
I,0,0,0,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5,2.2360679775,2.3703049675,-0.13423699,-0.444842929
M,1,1,0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8,2.8284271247,2.7805365511,0.0478905736,0.1589511358
I,0,0,0,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8,2.8284271247,2.4356386766,0.3927884481,1.3015399893
I,0,0,0,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5,2.2360679775,2.0063087233,0.2297592542,0.7637273371
M,1,1,0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19,4.3588989435,3.7635856613,0.5953132823,1.9794294946
M,1,1,0,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15,3.8729833462,3.1978634012,0.675119945,2.2374373251
M,1,1,0,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,3.7416573868,3.1799467982,0.5617105886,1.8607388677
F,1,0,1,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7,2.6457513111,2.6951309085,-0.049379597,-0.165255922
F,1,0,1,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13,3.6055512755,3.0495160844,0.5560351911,1.8470508944
M,1,1,0,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13,3.6055512755,3.4548699232,0.1506813523,0.5025732231
M,1,1,0,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18,4.2426406871,3.6368690919,0.6057715952,2.0095354582
M,1,1,0,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13,3.6055512755,3.0258033071,0.5797479684,1.9965186612
M,1,1,0,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16,4,3.6844231441,0.3155768559,1.0702938345
M,1,1,0,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10,3.1622776602,3.1083809323,0.0538967279,0.1787467784
M,1,1,0,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13,3.6055512755,3.6085134987,-0.002962223,-0.009848502
M,1,1,0,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19,4.3588989435,3.5732497683,0.7856491753,2.60272962
M,1,1,0,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10,3.1622776602,3.5530046973,-0.390727037,-1.297696877
M,1,1,0,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13,3.6055512755,3.4282044643,0.1773468112,0.5877885076
F,1,0,1,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,13,3.6055512755,4.1628511342,-0.557299859,-1.881536861
M,1,1,0,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18,4.2426406871,3.7811937474,0.4614469397,1.5834506589
F,1,0,1,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12,3.4641016151,3.4480096736,0.0160919415,0.0533335943
M,1,1,0,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9,3,2.8603685412,0.1396314588,0.4631142792
F,1,0,1,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8,2.8284271247,3.0399590077,-0.211531883,-0.700714596
M,1,1,0,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10,3.1622776602,3.6359321332,-0.473654473,-1.576171999
M,1,1,0,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18,4.2426406871,3.7011080636,0.5415326235,1.7975464871
M,1,1,0,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13,3.6055512755,3.6642467731,-0.058695498,-0.195111591
I,0,0,0,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9,3,2.8114728452,0.1885271548,0.6256044679
M,1,1,0,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8,2.8284271247,2.9451029625,-0.116675838,-0.386837061
I,0,0,0,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7,2.6457513111,2.4886453104,0.1571060007,0.5202004044
I,0,0,0,0.35,0.28,0.075,0.196,0.082,0.04,0.064,8,2.8284271247,2.5794206299,0.2490064948,0.825547195
I,0,0,0,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6,2.4494897428,2.5472621185,-0.097772376,-0.323724208
I,0,0,0,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7,2.6457513111,2.6663986959,-0.020647385,-0.068463478
I,0,0,0,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7,2.6457513111,2.7389505295,-0.093199218,-0.308555017
I,0,0,0,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6,2.4494897428,2.6956919387,-0.246202196,-0.814975805
I,0,0,0,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7,2.6457513111,2.6637825215,-0.01803121,-0.05969751
I,0,0,0,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8,2.8284271247,3.0098775282,-0.181450403,-0.601384731
M,1,1,0,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9,3,2.9666187704,0.0333812296,0.110656601
F,1,0,1,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7,2.6457513111,2.9715840655,-0.325832754,-1.080946373
F,1,0,1,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9,3,3.4549805042,-0.454980504,-1.508416106
M,1,1,0,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7,2.6457513111,2.9087420441,-0.262990733,-0.871677153
M,1,1,0,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9,3,3.0719081904,-0.07190819,-0.238025311
F,1,0,1,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8,2.8284271247,3.5860451259,-0.757618001,-2.512126842
M,1,1,0,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8,2.8284271247,3.0969059618,-0.268478837,-0.890407186
F,1,0,1,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10,3.1622776602,3.6207740012,-0.458496341,-1.518801376
M,1,1,0,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11,3.3166247904,3.1388433669,0.1777814235,0.5885017781
M,1,1,0,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9,3,3.102774532,-0.102774532,-0.340261439
F,1,0,1,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11,3.3166247904,3.1663766945,0.1502480959,0.4978262705
M,1,1,0,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10,3.1622776602,3.4742689162,-0.311991256,-1.033187823
F,1,0,1,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10,3.1622776602,3.4216320053,-0.259354345,-0.860803974
M,1,1,0,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13,3.6055512755,3.3565213288,0.2490299466,0.8268748742
M,1,1,0,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13,3.6055512755,3.4250753048,0.1804759707,0.6283325787
I,0,0,0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4,2,2.2628109331,-0.262810933,-0.870848076
I,0,0,0,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6,2.4494897428,2.3791114906,0.0703782522,0.2331134218
I,0,0,0,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6,2.4494897428,2.480380705,-0.030890962,-0.102270563
I,0,0,0,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5,2.2360679775,2.6689800048,-0.432912027,-1.433524762
I,0,0,0,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6,2.4494897428,2.6061739208,-0.156684178,-0.518650507
I,0,0,0,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6,2.4494897428,2.6628548921,-0.213365149,-0.70677991
I,0,0,0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6,2.4494897428,2.5548974762,-0.105407733,-0.349024307
I,0,0,0,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,2.6457513111,2.6700404751,-0.024289164,-0.080403514
I,0,0,0,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6,2.4494897428,2.6938921884,-0.244402446,-0.809553779
I,0,0,0,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8,2.8284271247,2.6061076335,0.2223194913,0.7361536349
I,0,0,0,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6,2.4494897428,2.6660799689,-0.216590226,-0.717264295
I,0,0,0,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8,2.8284271247,2.891264425,-0.0628373,-0.208094617
I,0,0,0,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7,2.6457513111,2.800405008,-0.154653697,-0.512602019
F,1,0,1,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7,2.6457513111,3.054089513,-0.408338202,-1.352981709
M,1,1,0,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8,2.8284271247,2.7531801982,0.0752469265,0.2498017449
I,0,0,0,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7,2.6457513111,2.8169946516,-0.171243341,-0.568098819
F,1,0,1,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9,3,3.0222923778,-0.022292378,-0.073973041
I,0,0,0,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8,2.8284271247,3.0287369846,-0.20030986,-0.664570871
I,0,0,0,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8,2.8284271247,2.8031477821,0.0252793426,0.083850747
F,1,0,1,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8,2.8284271247,3.0231931445,-0.19476602,-0.645279235
M,1,1,0,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7,2.6457513111,2.9819824668,-0.336231156,-1.114136229
M,1,1,0,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7,2.6457513111,2.9302917717,-0.284540461,-0.94274853
F,1,0,1,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7,2.6457513111,3.092862509,-0.447111198,-1.485724012
M,1,1,0,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,2.8284271247,3.3779189205,-0.549491796,-1.820034891
F,1,0,1,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8,2.8284271247,3.0087864049,-0.18035928,-0.597336186
F,1,0,1,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8,2.8284271247,3.0065688996,-0.178141775,-0.59337357
F,1,0,1,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8,2.8284271247,3.178462885,-0.35003576,-1.159379937
M,1,1,0,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9,3,3.2927058326,-0.292705833,-0.968900753
F,1,0,1,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12,3.4641016151,3.1412119992,0.322889616,1.0696743179
F,1,0,1,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10,3.1622776602,3.3886495811,-0.226371921,-0.750103534
F,1,0,1,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8,2.8284271247,3.1646564857,-0.336229361,-1.112993757
M,1,1,0,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8,2.8284271247,3.2409786171,-0.412551492,-1.368644183
M,1,1,0,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9,3,3.1422362727,-0.142236273,-0.470946037
F,1,0,1,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,3.3166247904,3.3650626748,-0.048437884,-0.160530237
F,1,0,1,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10,3.1622776602,3.4621875187,-0.299909859,-0.995303995
M,1,1,0,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11,3.3166247904,3.6309651321,-0.314340342,-1.042970725
M,1,1,0,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10,3.1622776602,3.2490980362,-0.086820376,-0.288351889
F,1,0,1,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9,3,3.3497115232,-0.349711523,-1.163003443
M,1,1,0,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9,3,3.2552574513,-0.255257451,-0.845918181
M,1,1,0,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10,3.1622776602,3.4608714487,-0.298593788,-0.992382615
F,1,0,1,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11,3.3166247904,3.3790320916,-0.062407301,-0.207495208
F,1,0,1,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10,3.1622776602,3.564441123,-0.402163463,-1.345147476
M,1,1,0,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11,3.3166247904,3.6106659294,-0.294041139,-0.976295373
F,1,0,1,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9,3,3.1148731073,-0.114873107,-0.386072113
I,0,0,0,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3,1.7320508076,1.9871768461,-0.255126039,-0.850758901
I,0,0,0,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4,2,2.1053580482,-0.105358048,-0.349634869
I,0,0,0,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6,2.4494897428,2.508098626,-0.058608883,-0.194030347
I,0,0,0,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6,2.4494897428,2.6346040558,-0.185114313,-0.613420281
I,0,0,0,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7,2.6457513111,2.7076286204,-0.061877309,-0.204894931
I,0,0,0,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6,2.4494897428,2.6785713506,-0.229081608,-0.758667289
I,0,0,0,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7,2.6457513111,2.7009047216,-0.055153411,-0.182613661
I,0,0,0,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7,2.6457513111,2.6412185909,0.0045327201,0.0150114384
I,0,0,0,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8,2.8284271247,2.7448633496,0.0835637752,0.2765678588
I,0,0,0,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6,2.4494897428,2.6256199272,-0.176130184,-0.587202875
I,0,0,0,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7,2.6457513111,3.0832786541,-0.437527343,-1.456086802
I,0,0,0,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7,2.6457513111,2.9126488827,-0.266897572,-0.883774778
I,0,0,0,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8,2.8284271247,3.0926947342,-0.264267609,-0.889393374
I,0,0,0,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7,2.6457513111,2.6388824441,0.0068688669,0.0228568743
F,1,0,1,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8,2.8284271247,3.2527996296,-0.424372505,-1.429718542
I,0,0,0,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8,2.8284271247,2.8358394651,-0.00741234,-0.024590833
I,0,0,0,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8,2.8284271247,2.8659965132,-0.037569388,-0.12461214
F,1,0,1,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,2.8284271247,3.1060682418,-0.277641117,-0.920744023
M,1,1,0,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,3.1622776602,3.1477340725,0.0145435877,0.048187582
M,1,1,0,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8,2.8284271247,3.1594986572,-0.331071532,-1.096358136
M,1,1,0,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8,2.8284271247,3.0509472478,-0.222520123,-0.736733548
M,1,1,0,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8,2.8284271247,3.0870758676,-0.258648743,-0.857262671
F,1,0,1,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9,3,3.0044392522,-0.004439252,-0.014706021
M,1,1,0,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8,2.8284271247,2.9554915066,-0.127064382,-0.421155232
M,1,1,0,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8,2.8284271247,3.0505412168,-0.222114092,-0.735587677
F,1,0,1,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9,3,2.9481634856,0.0518365144,0.1718312882
M,1,1,0,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10,3.1622776602,3.2160970077,-0.053819347,-0.178333054
F,1,0,1,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9,3,3.1617216906,-0.161721691,-0.535986544
M,1,1,0,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8,2.8284271247,3.0750650156,-0.246637891,-0.823150173
M,1,1,0,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12,3.4641016151,3.3189075083,0.1451941068,0.4805628285
M,1,1,0,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10,3.1622776602,3.2753345731,-0.113056913,-0.37431094
F,1,0,1,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11,3.3166247904,3.4260108748,-0.109386084,-0.362421975
F,1,0,1,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10,3.1622776602,3.1690206613,-0.006743001,-0.02237095
M,1,1,0,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10,3.1622776602,3.2588165267,-0.096538867,-0.319877172
M,1,1,0,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9,3,2.9766499073,0.0233500927,0.0775124644
F,1,0,1,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11,3.3166247904,3.1549693381,0.1616554522,0.5355224978
